,N,L,Max,Pat,R_A
670,30,100,0.149968,1,0
671,30,100,0.149916,1,1
672,30,100,0.149934,1,2
673,30,100,0.14996,1,3
674,30,100,0.149872,1,4
675,30,100,0.149908,1,5
676,30,100,0.149822,1,6
677,30,100,0.149878,1,7
678,30,100,0.149834,1,8
679,30,100,0.149832,1,9
680,60,100,0.299846,1,0
681,60,100,0.299766,1,1
682,60,100,0.299846,1,2
683,60,100,0.299822,1,3
684,60,100,0.299712,1,4
685,60,100,0.299732,1,5
686,60,100,0.29965,1,6
687,60,100,0.29966,1,7
688,60,100,0.2996,1,8
689,60,100,0.299552,1,9
690,90,100,0.449696,1,0
691,90,100,0.449506,1,1
692,90,100,0.449586,1,2
693,90,100,0.449726,1,3
694,90,100,0.449516,1,4
695,90,100,0.449488,1,5
696,90,100,0.449352,1,6
697,90,100,0.449392,1,7
698,90,100,0.449272,1,8
699,90,100,0.373804,1,9
700,120,100,0.598726,1,0
701,120,100,0.599348,1,1
702,120,100,0.599408,1,2
703,120,100,0.59946,1,3
704,120,100,0.599274,1,4
705,120,100,0.59919,1,5
706,120,100,0.599188,1,6
707,120,100,0.599024,1,7
708,120,100,0.598878,1,8
709,120,100,0.477682,1,9
710,150,100,0.74802,1,0
711,150,100,0.748508,1,1
712,150,100,0.74897,1,2
713,150,100,0.74903,1,3
714,150,100,0.748736,1,4
715,150,100,0.748782,1,5
716,150,100,0.748568,1,6
717,150,100,0.748422,1,7
718,150,100,0.747998,1,8
719,150,100,0.57505,1,9
720,180,100,0.808532,1,0
721,180,100,0.89701,1,1
722,180,100,0.897778,1,2
723,180,100,0.89767,1,3
724,180,100,0.896888,1,4
725,180,100,0.897632,1,5
726,180,100,0.897754,1,6
727,180,100,0.72852,1,7
728,180,100,0.728632,1,8
729,180,100,0.672808,1,9
730,210,100,0.957646,1,0
731,210,100,0.97444,1,1
732,210,100,0.996654,1,2
733,210,100,0.994418,1,3
734,210,100,0.84285,1,4
735,210,100,0.997178,1,5
736,210,100,0.8107,1,6
737,210,100,0.80671,1,7
738,210,100,0.788202,1,8
739,210,100,0.76709,1,9
740,240,100,0.982824,1,0
741,240,100,0.976742,1,1
742,240,100,0.904944,1,2
743,240,100,0.892568,1,3
744,240,100,0.879676,1,4
745,240,100,0.870252,1,5
746,240,100,0.867826,1,6
747,240,100,0.864142,1,7
748,240,100,0.85695,1,8
749,240,100,0.8578,1,9
750,270,100,0.974026,1,0
751,270,100,0.956504,1,1
752,270,100,0.944972,1,2
753,270,100,0.933,1,3
754,270,100,0.922156,1,4
755,270,100,0.914616,1,5
756,270,100,0.916032,1,6
757,270,100,0.91159,1,7
758,270,100,0.915074,1,8
759,270,100,0.924412,1,9
760,300,100,0.999174,1,0
761,300,100,0.980716,1,1
762,300,100,0.97388,1,2
763,300,100,0.969064,1,3
764,300,100,0.962596,1,4
765,300,100,0.957722,1,5
766,300,100,0.955042,1,6
767,300,100,0.952808,1,7
768,300,100,0.953474,1,8
769,300,100,0.951062,1,9
770,0,100,0.0,1,0
771,0,100,0.0,1,1
772,0,100,0.0,1,2
773,0,100,0.0,1,3
774,0,100,0.0,1,4
775,0,100,0.0,1,5
776,0,100,0.0,1,6
777,0,100,0.0,1,7
778,0,100,0.0,1,8
779,0,100,0.0,1,9
780,30,100,0.149968,1,0
781,30,100,0.149876,1,1
782,30,100,0.149944,1,2
783,30,100,0.149976,1,3
784,30,100,0.149894,1,4
785,30,100,0.149912,1,5
786,30,100,0.1499,1,6
787,30,100,0.149882,1,7
788,30,100,0.14984,1,8
789,30,100,0.149826,1,9
790,60,100,0.299868,1,0
791,60,100,0.299796,1,1
792,60,100,0.299856,1,2
793,60,100,0.29987,1,3
794,60,100,0.299718,1,4
795,60,100,0.299668,1,5
796,60,100,0.299646,1,6
797,60,100,0.299672,1,7
798,60,100,0.299638,1,8
799,60,100,0.270332,1,9
800,90,100,0.449518,1,0
801,90,100,0.449648,1,1
802,90,100,0.44956,1,2
803,90,100,0.449772,1,3
804,90,100,0.449544,1,4
805,90,100,0.44956,1,5
806,90,100,0.449482,1,6
807,90,100,0.449394,1,7
808,90,100,0.449394,1,8
809,90,100,0.373368,1,9
810,120,100,0.598774,1,0
811,120,100,0.599444,1,1
812,120,100,0.599488,1,2
813,120,100,0.599472,1,3
814,120,100,0.599182,1,4
815,120,100,0.599216,1,5
816,120,100,0.599206,1,6
817,120,100,0.599108,1,7
818,120,100,0.599002,1,8
819,120,100,0.474362,1,9
820,150,100,0.748068,1,0
821,150,100,0.74893,1,1
822,150,100,0.748914,1,2
823,150,100,0.748918,1,3
824,150,100,0.748788,1,4
825,150,100,0.748866,1,5
826,150,100,0.748708,1,6
827,150,100,0.748512,1,7
828,150,100,0.748112,1,8
829,150,100,0.576008,1,9
830,180,100,0.887764,1,0
831,180,100,0.897822,1,1
832,180,100,0.89797,1,2
833,180,100,0.89782,1,3
834,180,100,0.897306,1,4
835,180,100,0.8914,1,5
836,180,100,0.762254,1,6
837,180,100,0.798102,1,7
838,180,100,0.842312,1,8
839,180,100,0.672474,1,9
840,210,100,0.93707,1,0
841,210,100,0.996062,1,1
842,210,100,0.957708,1,2
843,210,100,0.85915,1,3
844,210,100,0.842274,1,4
845,210,100,0.831958,1,5
846,210,100,0.910214,1,6
847,210,100,0.818098,1,7
848,210,100,0.785716,1,8
849,210,100,0.768342,1,9
850,240,100,0.967634,1,0
851,240,100,0.952594,1,1
852,240,100,0.910814,1,2
853,240,100,0.893844,1,3
854,240,100,0.88007,1,4
855,240,100,0.871308,1,5
856,240,100,0.867998,1,6
857,240,100,0.86351,1,7
858,240,100,0.858402,1,8
859,240,100,0.85467,1,9
860,270,100,0.99863,1,0
861,270,100,0.956272,1,1
862,270,100,0.941694,1,2
863,270,100,0.932766,1,3
864,270,100,0.920616,1,4
865,270,100,0.915348,1,5
866,270,100,0.914246,1,6
867,270,100,0.913998,1,7
868,270,100,0.91353,1,8
869,270,100,0.921308,1,9
870,300,100,0.994478,1,0
871,300,100,0.974674,1,1
872,300,100,0.975736,1,2
873,300,100,0.969852,1,3
874,300,100,0.960736,1,4
875,300,100,0.958928,1,5
876,300,100,0.958234,1,6
877,300,100,0.953662,1,7
878,300,100,0.954462,1,8
879,300,100,0.950868,1,9
880,0,100,0.0,1,0
881,0,100,0.0,1,1
882,0,100,0.0,1,2
883,0,100,0.0,1,3
884,0,100,0.0,1,4
885,0,100,0.0,1,5
886,0,100,0.0,1,6
887,0,100,0.0,1,7
888,0,100,0.0,1,8
889,0,100,0.0,1,9
890,30,100,0.149984,1,0
891,30,100,0.149914,1,1
892,30,100,0.149878,1,2
893,30,100,0.14998,1,3
894,30,100,0.14986,1,4
895,30,100,0.149892,1,5
896,30,100,0.14985,1,6
897,30,100,0.14987,1,7
898,30,100,0.149826,1,8
899,30,100,0.149782,1,9
900,60,100,0.29983,1,0
901,60,100,0.299786,1,1
902,60,100,0.29987,1,2
903,60,100,0.299826,1,3
904,60,100,0.299698,1,4
905,60,100,0.299652,1,5
906,60,100,0.299672,1,6
907,60,100,0.299634,1,7
908,60,100,0.299532,1,8
909,60,100,0.299472,1,9
910,90,100,0.449594,1,0
911,90,100,0.449606,1,1
912,90,100,0.44961,1,2
913,90,100,0.44974,1,3
914,90,100,0.449468,1,4
915,90,100,0.449562,1,5
916,90,100,0.449416,1,6
917,90,100,0.449342,1,7
918,90,100,0.44935,1,8
919,90,100,0.37712,1,9
920,120,100,0.59887,1,0
921,120,100,0.599392,1,1
922,120,100,0.599498,1,2
923,120,100,0.599498,1,3
924,120,100,0.59941,1,4
925,120,100,0.599188,1,5
926,120,100,0.599148,1,6
927,120,100,0.599128,1,7
928,120,100,0.598946,1,8
929,120,100,0.48012,1,9
930,150,100,0.748006,1,0
931,150,100,0.748884,1,1
932,150,100,0.749122,1,2
933,150,100,0.748878,1,3
934,150,100,0.748954,1,4
935,150,100,0.74866,1,5
936,150,100,0.748704,1,6
937,150,100,0.748394,1,7
938,150,100,0.748474,1,8
939,150,100,0.57637,1,9
940,180,100,0.84761,1,0
941,180,100,0.897196,1,1
942,180,100,0.897964,1,2
943,180,100,0.897804,1,3
944,180,100,0.897838,1,4
945,180,100,0.896758,1,5
946,180,100,0.76013,1,6
947,180,100,0.765234,1,7
948,180,100,0.72347,1,8
949,180,100,0.672096,1,9
950,210,100,0.927348,1,0
951,210,100,0.98103,1,1
952,210,100,0.995676,1,2
953,210,100,0.856814,1,3
954,210,100,0.944268,1,4
955,210,100,0.862304,1,5
956,210,100,0.811834,1,6
957,210,100,0.81912,1,7
958,210,100,0.802208,1,8
959,210,100,0.767012,1,9
960,240,100,0.998056,1,0
961,240,100,0.942774,1,1
962,240,100,0.90963,1,2
963,240,100,0.894416,1,3
964,240,100,0.877726,1,4
965,240,100,0.870164,1,5
966,240,100,0.869052,1,6
967,240,100,0.859292,1,7
968,240,100,0.857288,1,8
969,240,100,0.858328,1,9
970,270,100,0.993696,1,0
971,270,100,0.96204,1,1
972,270,100,0.943078,1,2
973,270,100,0.934836,1,3
974,270,100,0.921076,1,4
975,270,100,0.91468,1,5
976,270,100,0.913618,1,6
977,270,100,0.912904,1,7
978,270,100,0.915674,1,8
979,270,100,0.922494,1,9
980,300,100,0.999578,1,0
981,300,100,0.983408,1,1
982,300,100,0.973008,1,2
983,300,100,0.968838,1,3
984,300,100,0.962108,1,4
985,300,100,0.956186,1,5
986,300,100,0.954774,1,6
987,300,100,0.953796,1,7
988,300,100,0.953642,1,8
989,300,100,0.95069,1,9
990,0,100,0.0,1,0
991,0,100,0.0,1,1
992,0,100,0.0,1,2
993,0,100,0.0,1,3
994,0,100,0.0,1,4
995,0,100,0.0,1,5
996,0,100,0.0,1,6
997,0,100,0.0,1,7
998,0,100,0.0,1,8
999,0,100,0.0,1,9
1000,30,100,0.149988,1,0
1001,30,100,0.149904,1,1
1002,30,100,0.149882,1,2
1003,30,100,0.149976,1,3
1004,30,100,0.149886,1,4
1005,30,100,0.149872,1,5
1006,30,100,0.149856,1,6
1007,30,100,0.149852,1,7
1008,30,100,0.149838,1,8
1009,30,100,0.149844,1,9
1010,60,100,0.299792,1,0
1011,60,100,0.299754,1,1
1012,60,100,0.299802,1,2
1013,60,100,0.299854,1,3
